REGION,DISTRICT,new_FACILITY,Year,Month,Suspect,n
Arusha,Arumeru,Kaloreni Health Center,2023,2,Healthy,3
Arusha,Arumeru,Kaloreni Health Center,2023,2,Suspect,13
Arusha,Arumeru,Kaloreni Health Center,2023,3,Healthy,15
Arusha,Arumeru,Kaloreni Health Center,2023,3,Suspect,21
Arusha,Arumeru,Kaloreni Health Center,2023,4,Healthy,13
Arusha,Arumeru,Kaloreni Health Center,2023,4,Suspect,6
Arusha,Arumeru,Kaloreni Health Center,2023,5,Healthy,20
Arusha,Arumeru,Kaloreni Health Center,2023,5,Suspect,2
Arusha,Arumeru,Kaloreni Health Center,2023,6,Healthy,8
Arusha,Arumeru,Kaloreni Health Center,2023,6,Suspect,1
Arusha,Arumeru,Kaloreni Health Center,2023,7,Healthy,3
Arusha,Arumeru,Kaloreni Health Center,2023,8,Healthy,8
Arusha,Arumeru,Kaloreni Health Center,2023,8,Suspect,3
Arusha,Arumeru,Kaloreni Health Center,2023,9,Healthy,8
Arusha,Arumeru,Kaloreni Health Center,2023,10,Healthy,12
Arusha,Arumeru,Kaloreni Health Center,2023,11,Healthy,10
Arusha,Arumeru,Kaloreni Health Center,2023,12,Healthy,10
Arusha,Arumeru,Kibutuka Dispensary,2020,9,Healthy,1
Arusha,Arumeru,Mkomaindo Hospital,2021,3,Suspect,1
Arusha,Arumeru,Mt Meru Regional Hospital,2023,1,Suspect,2
Arusha,Arumeru,Mt Meru Regional Hospital,2023,2,Suspect,5
Arusha,Arumeru,Mt Meru Regional Hospital,2023,3,Healthy,4
Arusha,Arumeru,Mt Meru Regional Hospital,2023,3,Suspect,1
Arusha,Arumeru,Mt Meru Regional Hospital,2023,5,Suspect,1
Arusha,Arumeru,Mt Meru Regional Hospital,2023,7,Suspect,3
Arusha,Arumeru,Mt Meru Regional Hospital,2023,8,Suspect,1
Arusha,Arumeru,Mt Meru Regional Hospital,2023,10,Suspect,1
Arusha,Arumeru,Nduruma Health Center,2023,2,Healthy,1
Arusha,Arumeru,Nduruma Health Center,2023,9,Healthy,1
Arusha,Arumeru,Njiro Health Center,2023,2,Healthy,1
Arusha,Arumeru,Njiro Health Center,2023,2,Suspect,2
Arusha,Arumeru,Njiro Health Center,2023,4,Healthy,1
Arusha,Arumeru,Njiro Health Center,2023,4,Suspect,1
Arusha,Arumeru,Njiro Health Center,2023,5,Suspect,2
Arusha,Arumeru,Njiro Health Center,2023,6,Suspect,2
Arusha,Arumeru,Njiro Health Center,2023,7,Healthy,1
Arusha,Arumeru,Njiro Health Center,2023,7,Suspect,2
Arusha,Arumeru,Njiro Health Center,2023,10,Healthy,1
Arusha,Arumeru,Njiro Health Center,2023,10,Suspect,1
Arusha,Arumeru,Otrumet Hospital,2023,4,Suspect,2
Arusha,Arumeru,Otrumet Hospital,2023,6,Healthy,2
Arusha,Arumeru,Otrumet Hospital,2023,7,Healthy,3
Arusha,Arumeru,Otrumet Hospital,2023,9,Healthy,1
Arusha,Arumeru,Otrumet Hospital,2023,9,Suspect,1
Arusha,Arumeru,Otrumet Hospital,2023,12,Healthy,1
Arusha,Arumeru,Rabies Test Facility,2018,1,Healthy,1
Arusha,Arumeru,Sakala Health Center,2023,5,Suspect,5
Arusha,Arumeru,Tengeru District Hospital,2023,6,Healthy,3
Arusha,Arumeru,Tengeru District Hospital,2023,6,Suspect,2
Arusha,Arumeru,Tengeru District Hospital,2023,7,Healthy,5
Arusha,Arumeru,Tengeru District Hospital,2023,7,Suspect,3
Arusha,Arumeru,Tengeru District Hospital,2023,8,Healthy,12
